name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
The Residences on 56th Street,"6800 Brendon Way W Dr, Indianapolis, IN",46226,$999,"$1,699",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-residences-on-56th-street-indianapolis-in/9ls8wv4/,(463) 223-2697
Everly at Meridian Hills,"832 Park Central Ct, Indianapolis, IN",46260,"$1,429","$2,129",2-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, Walk-In Closets",https://www.apartments.com/everly-at-meridian-hills-indianapolis-in/0eyqdb1/,(463) 231-3854
TGM Autumn Woods,"9075 Autumn Woods Dr, Indianapolis, IN",46250,"$1,111","$1,799",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/tgm-autumn-woods-indianapolis-in/d1hy2wl/,(463) 238-3738
9 on Canal,"335 W 9th St, Indianapolis, IN",46202,"$1,255","$3,300",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, Controlled Access",https://www.apartments.com/9-on-canal-indianapolis-in/gemsgnz/,(833) 420-1802
Lake Castleton,"7601 Carlton Arms Dr, Indianapolis, IN",46256,"$1,025","$1,775",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site",https://www.apartments.com/lake-castleton-indianapolis-in/qedv4jz/,(463) 223-1647
The Block,"50 N Illinois St, Indianapolis, IN",46204,"$1,699","$3,929",1-3 Beds,"Pets Allowed, In Unit Washer & Dryer, Stainless Steel Appliances, Package Service, Controlled Access, Granite Countertops, Elevator",https://www.apartments.com/the-block-indianapolis-in/y7ghflr/,(463) 230-8914
Lake Clearwater Apartments,"3914 Lake Clearwater Pl, Indianapolis, IN",46240,"$1,345","$2,130",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/lake-clearwater-apartments-indianapolis-in/1v38656/,(463) 223-8380
The Boardwalk at Westlake Apartments and T...,"6000 Westlake Dr, Indianapolis, IN",46224,$815,"$3,083",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Disposal",https://www.apartments.com/the-boardwalk-at-westlake-apartments-and-t-indianapolis-in/r7tm5g1/,(463) 888-6421
Brookwood Apartments,"5301 S Turtle Creek South Dr, Indianapolis, IN",46227,$810,"$1,371",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Walk-In Closets, High-Speed Internet",https://www.apartments.com/brookwood-apartments-indianapolis-in/lxtc7jg/,(463) 444-7963
Kingston Square Apartments,"7171 Twin Oaks Dr, Indianapolis, IN",46226,$879,"$1,599",Studio - 3 Beds,"Fitness Center, Pool, Dishwasher, Refrigerator, Walk-In Closets, Clubhouse",https://www.apartments.com/kingston-square-apartments-indianapolis-in/d7rmzbl/,(463) 465-5048
Serenity Park Apartments,"9060 E 39th Pl, Indianapolis, IN",46235,$649,"$1,164",1-2 Beds,"Fitness Center, Pool, Clubhouse, Maintenance on site, Laundry Facilities, Playground",https://www.apartments.com/serenity-park-apartments-indianapolis-in/vqss72e/,(463) 205-1157
Industry Indianapolis,"421 N Pennsylvania St, Indianapolis, IN",46204,"$1,330","$4,370",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, EV Charging",https://www.apartments.com/industry-indianapolis-indianapolis-in/qjk4qhz/,(463) 209-6448
Rise on Meridian,"915 S Meridian St, Indianapolis, IN",46225,"$1,210","$2,390",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Controlled Access, EV Charging",https://www.apartments.com/rise-on-meridian-indianapolis-in/qqn194x/,(463) 777-2902
ARLO Apartments,"5945 Arlo Dr, Indianapolis, IN",46237,"$1,320","$1,990",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Heat, Business Center, Ceiling Fans",https://www.apartments.com/arlo-apartments-indianapolis-in/hxlr1g2/,(463) 300-5002
Spanish Oaks,"3645 Wingate Ct, Indianapolis, IN",46235,$750,"$1,850",Studio - 3 Beds,"Pets Allowed, Pool, Dishwasher, Kitchen, Walk-In Closets, Clubhouse",https://www.apartments.com/spanish-oaks-indianapolis-in/lk19h8g/,(463) 465-1039
The Domain at Bennett Farms,"5000 Bennett Pky, Zionsville, IN",46077,"$1,399","$2,399",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Business Center",https://www.apartments.com/the-domain-at-bennett-farms-zionsville-in/ket1s7c/,(463) 223-4094
Arlington Farms,"2755 Red Bloom Dr, Greenwood, IN",46143,"$1,395","$2,080",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, High-Speed Internet",https://www.apartments.com/arlington-farms-greenwood-in/f7913gt/,(463) 243-6176
Cosmopolitan on the Canal,"310 W Michigan St, Indianapolis, IN",46202,"$1,145","$2,315",Studio - 2 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Walk-In Closets, Elevator",https://www.apartments.com/cosmopolitan-on-the-canal-indianapolis-in/d729k3h/,(463) 230-6419
Westpark Townhomes,"1225 W Park Way, Indianapolis, IN",46214,"$1,050","$1,450",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Stainless Steel Appliances, Granite Countertops, Playground",https://www.apartments.com/westpark-townhomes-indianapolis-in/vl5hghe/,(463) 888-6556
Keeneland Crest Apartments,"8401 Boggs Creek Dr, Indianapolis, IN",46237,$995,"$1,504",1-2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Business Center, Fireplace",https://www.apartments.com/keeneland-crest-apartments-indianapolis-in/f7s4x3t/,(463) 777-2579
The Coil,"6349 N College Ave, Indianapolis, IN",46220,"$1,299","$3,699",Studio - 2 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Maintenance on site, Stainless Steel Appliances, Granite Countertops",https://www.apartments.com/the-coil-indianapolis-in/f5q1jzs/,(463) 231-3142
Shadeland Terrace Townhomes w/Basements,"4620 Englewood Ave, Indianapolis, IN",46226,"$1,450","$1,450",2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Balcony",https://www.apartments.com/shadeland-terrace-townhomes-w-basements-indianapolis-in/5yz5kvm/,(463) 777-2581
Autumn Chase,"3717 Piermont Dr, Indianapolis, IN",46227,"$1,149","$1,500",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/autumn-chase-indianapolis-in/bb8w3l9/,(463) 219-6956
Martinique Terrace,"6789 S East St, Indianapolis, IN",46227,"$1,059","$1,219",1-3 Beds,"Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/martinique-terrace-indianapolis-in/62hlj5t/,(463) 219-2204
Aspen Lakes,"7202 Winslet Blvd, Indianapolis, IN",46217,"$1,115","$1,985",1-3 Beds,"Cats Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Walk-In Closets, Package Service",https://www.apartments.com/aspen-lakes-indianapolis-in/2hstxm9/,(317) 961-6410
Idlewood Apartments,"3543 Idlewood Ter, Indianapolis, IN",46214,$930,"$1,235",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Online Services, Laundry Facilities",https://www.apartments.com/idlewood-apartments-indianapolis-in/1zlsyj4/,(463) 888-6870
Edison at Meridian Hills,"811 Antique Ct, Indianapolis, IN",46260,"$1,099","$2,329",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Grill, Washer & Dryer Hookups",https://www.apartments.com/edison-at-meridian-hills-indianapolis-in/14y45t7/,(463) 223-8902
Knoll Ridge Townhomes & Apartments,"11415 Knollridge Ln, Indianapolis, IN",46229,"$1,050","$1,900",1-4 Beds,"Pets Allowed, Fitness Center, Refrigerator, Kitchen, Walk-In Closets, Clubhouse",https://www.apartments.com/knoll-ridge-townhomes-apartments-indianapolis-in/4enxbyj/,(463) 219-5074
Iron Works at Keystone,"2727 E 86th St, Indianapolis, IN",46240,"$1,298","$2,530",Studio - 2 Beds,"Pets Allowed, EV Charging",https://www.apartments.com/iron-works-at-keystone-indianapolis-in/ett7jnp/,(463) 223-9847
College Courts,"9301 Yale Dr, Indianapolis, IN",46240,"$1,014","$1,449",1-2 Beds,"Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets",https://www.apartments.com/college-courts-indianapolis-in/p2x21vt/,(463) 229-6328
The Lakes Apartments,"8740 Arborway Ct, Indianapolis, IN",46268,"$1,435","$1,730",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/the-lakes-apartments-indianapolis-in/q6q8mgw/,(463) 888-7218
CityWay,"229 S Delaware St, Indianapolis, IN",46204,"$1,317","$3,381",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, Clubhouse, Balcony",https://www.apartments.com/cityway-indianapolis-in/5db6bwm/,(855) 768-2506
Solana Apartments,"7745 Solana Dr, Indianapolis, IN",46240,"$1,130","$3,299",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/solana-apartments-indianapolis-in/xjm9jxn/,(463) 223-2797
TGM Shadeland Station,"7135 Thatcher Dr, Indianapolis, IN",46256,"$1,119","$1,670",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/tgm-shadeland-station-indianapolis-in/9kktqc6/,(463) 240-3148
Scandia Apartments,"9250 Kungsholm Dr, Indianapolis, IN",46250,"$1,074","$1,654",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Business Center",https://www.apartments.com/scandia-apartments-indianapolis-in/9er4df5/,(463) 240-3346
Circa Apartments,"617 N College, Indianapolis, IN",46204,"$1,097","$2,966",Studio - 3 Beds,"Pets Allowed, Dishwasher, In Unit Washer & Dryer, Walk-In Closets",https://www.apartments.com/circa-apartments-indianapolis-in/vzx4fdd/,(463) 240-1324
Castle Creek Apartments,"5702 Castle Hill Dr, Indianapolis, IN",46250,"$1,345","$1,925",1-3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, Business Center",https://www.apartments.com/castle-creek-apartments-indianapolis-in/l976t1d/,(463) 223-9220
Ivy Knoll Apartments,"5707 A Ivy Knoll Dr, Indianapolis, IN",46250,"$1,299","$1,489",2 Beds,"Pool, In Unit Washer & Dryer, Maintenance on site, CableReady, High-Speed Internet",https://www.apartments.com/ivy-knoll-apartments-indianapolis-in/7eltl3z/,(463) 240-1163
The Sterling,"8020 Madison Ave, Indianapolis, IN",46227,$900,"$1,100",1-2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, Balcony, Range",https://www.apartments.com/the-sterling-indianapolis-in/7vxswyy/,(463) 444-7446
A/62,"6111 Allisonville Rd, Indianapolis, IN",46220,"$1,201","$1,650",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Maintenance on site, Playground",https://www.apartments.com/a-62-indianapolis-in/bdbc678/,(463) 240-1328
